id,category,question,answer,business_type,monthly_income,monthly_expense,profit,profit_margin,date,network,location,risk_level
194,Budgeting,Fake promotion SMS,,General,,2000.0,300.0,30.0,2026-01-05,MTN,Kumasi,High
195,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,2500.0,0.0,30.0,2026-01-05,Telecel,Takoradi,Low
196,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,Pharmacy,17497.0,,,30.0,2026-01-05,,Accra,Medium
197,Savings,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Pharmacy,5000.0,2000.0,-500.0,30.0,,Telecel,Wa,
198,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Retail Shop,11538.0,,,,2026-01-05,MTN,Sunyani,
199,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Restaurant,,6972.0,,30.0,2026-01-05,Telecel,Sunyani,High
200,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,,,30.0,2026-01-05,MTN,Kumasi,
201,Savings,proffit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,5000.0,16739.0,0.0,30.0,2026-01-05,MTN,Kumasi,Medium
202,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,,2500.0,-500.0,30.0,2026-01-05,AirtelTigo,Ho,Low
203,Profit Margin,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Farmer,,19918.0,-500.0,30.0,2026-01-05,Telecel,Sunyani,Low
204,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,5000.0,,-500.0,30.0,2026-01-05,,Accra,High
205,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,5000.0,,300.0,30.0,,Telecel,Takoradi,Low
206,Profit Margin,proffit margin,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,23257.0,0.0,0.0,2026-01-05,MTN,Wa,High
207,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Farmer,,2500.0,,,2026-01-15,MTN,Wa,Low
208,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,General,5000.0,,300.0,6.0,2026-01-05,,Kumasi,
209,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Salon,,24378.0,,,2026-01-13,AirtelTigo,Wa,High
210,Mobile Money Fraud,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Boutique,,,,30.0,2026-01-05,MTN,Ho,High
211,Mobile Money Fraud,How can I save money?,Save 10-30% of profits and keep emergency funds.,Pharmacy,11835.0,17821.0,-5986.0,-50.6,2026-01-15,MTN,Ho,High
212,Savings,Emergency fund,Save 10-30% of profits and keep emergency funds.,Food Vendor,,,300.0,30.0,2026-01-05,AirtelTigo,Cape Coast,Low
213,Profit Margin,Profit formula?,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,2000.0,3000.0,60.0,2026-01-05,Telecel,Sunyani,High
214,Mobile Money Fraud,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,18134.0,2500.0,300.0,25.0,2026-01-15,,Accra,Medium
215,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,5000.0,,,,2026-01-05,,Tamale,Low
216,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,Farmer,,13907.0,0.0,,2026-01-15,Telecel,,
217,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Salon,,2000.0,-500.0,30.0,2026-01-13,MTN,Cape Coast,Low
218,Profit Margin,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,General,8024.0,2500.0,-500.0,-6.2,2026-01-05,MTN,Cape Coast,High
219,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,22639.0,2000.0,20639.0,25.0,2026-01-05,,Takoradi,Low
220,Budgeting,Fake promotion SMS,,Farmer,5000.0,2000.0,300.0,6.0,,,Cape Coast,High
221,Profit Margin,Margin example,Profit Margin=(Profit/Revenue)*100,Food Vendor,5000.0,2500.0,2500.0,25.0,2026-01-15,Telecel,Sunyani,Low
222,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,General,5000.0,,,30.0,,Telecel,Bolgatanga,
223,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,General,5000.0,,,30.0,2026-01-05,AirtelTigo,Cape Coast,High
224,Savings,proffit margin,Profit Margin=(Profit/Revenue)*100,General,5000.0,2500.0,2500.0,50.0,2026-01-05,AirtelTigo,Wa,Low
225,Savings,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,2500.0,2500.0,25.0,2026-01-05,Telecel,Ho,High
226,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Farmer,,,300.0,25.0,2026-01-15,Telecel,Wa,Low
227,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Bakery,,,-500.0,30.0,2026-01-05,,Kumasi,High
228,Savings,Budget tips,Track income and expenses. Separate business and personal money.,Pharmacy,,,300.0,,2026-01-05,,,Medium
229,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,Pharmacy,7574.0,2000.0,0.0,30.0,2026-01-15,,Takoradi,
230,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,General,5000.0,,,30.0,2026-01-05,,Wa,High
231,Budgeting,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Restaurant,5000.0,2500.0,2500.0,50.0,2026-01-05,MTN,Bolgatanga,
232,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,2500.0,0.0,30.0,2026-01-05,MTN,Bolgatanga,High
233,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,Food Vendor,5000.0,,,25.0,,Telecel,Ho,Medium
234,Profit Margin,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5000.0,2000.0,0.0,25.0,2026-01-05,Telecel,Accra,High
235,Mobile Money Fraud,Emergency fund,Save 10-30% of profits and keep emergency funds.,Restaurant,5760.0,2500.0,300.0,25.0,2026-01-13,Telecel,Sunyani,Low
236,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,,,,25.0,2026-01-15,MTN,Sunyani,Medium
237,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Bakery,,,,25.0,2026-01-05,,Cape Coast,Low
238,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,General,5000.0,,0.0,30.0,2026-01-13,MTN,Tamale,Low
239,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Pharmacy,,,,25.0,2026-01-15,,Tamale,Low
240,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Boutique,,,0.0,,2026-01-05,,Bolgatanga,Low
241,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,,-500.0,25.0,,AirtelTigo,Bolgatanga,
242,Mobile Money Fraud,Emergency fund,Save 10-30% of profits and keep emergency funds.,Salon,,15699.0,,25.0,2026-01-05,MTN,Ho,High
243,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,General,7444.0,15590.0,-8146.0,-109.4,,Telecel,Cape Coast,High
244,Profit Margin,Fake promotion SMS,,Pharmacy,24387.0,2500.0,0.0,30.0,2026-01-05,MTN,Kumasi,Low
245,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Salon,,16134.0,,30.0,2026-01-13,MTN,Sunyani,Low
246,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Bakery,,2000.0,,30.0,2026-01-05,MTN,Sunyani,High
247,Savings,budjet help,Track income and expenses. Separate business and personal money.,Pharmacy,,2000.0,300.0,30.0,2026-01-15,Telecel,,Low
248,Profit Margin,Susu advice,Save 10-30% of profits and keep emergency funds.,Food Vendor,5000.0,10891.0,-5891.0,30.0,2026-01-05,MTN,Tamale,Low
249,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Restaurant,,10132.0,,25.0,2026-01-13,MTN,Kumasi,High
250,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Restaurant,,,,30.0,2026-01-05,Telecel,Kumasi,High
251,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,General,5000.0,,0.0,30.0,2026-01-15,,,
252,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,General,16785.0,20909.0,-4124.0,-24.6,2026-01-05,Telecel,Takoradi,Medium
253,Mobile Money Fraud,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,,,30.0,2026-01-15,,Accra,
254,Mobile Money Fraud,Monthly budget template,Track income and expenses. Separate business and personal money.,Pharmacy,,,300.0,30.0,2026-01-15,Telecel,Tamale,Low
255,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,2000.0,,,2026-01-05,,Tamale,High
256,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Bakery,,2000.0,0.0,25.0,2026-01-05,AirtelTigo,Wa,
257,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Bakery,5000.0,14394.0,-500.0,30.0,2026-01-15,MTN,Sunyani,Medium
258,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Salon,,2000.0,-500.0,25.0,2026-01-15,AirtelTigo,Bolgatanga,High
259,Budgeting,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,General,,16344.0,,30.0,2026-01-13,Telecel,Accra,Low
260,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,2500.0,-500.0,25.0,2026-01-05,,Cape Coast,High
261,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Bakery,5000.0,13224.0,-500.0,25.0,2026-01-05,Telecel,Ho,High
262,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,General,,,,25.0,2026-01-05,AirtelTigo,Kumasi,High
263,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Farmer,,2000.0,,,2026-01-05,,Ho,
264,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Farmer,5000.0,2000.0,3000.0,60.0,2026-01-05,Telecel,Cape Coast,Low
265,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,Farmer,18452.0,2500.0,15952.0,86.5,2026-01-13,MTN,Kumasi,Medium
266,Savings,Margin example,Profit Margin=(Profit/Revenue)*100,Farmer,13407.0,,300.0,2.2,,MTN,Kumasi,High
267,Savings,Emergency fund,,Salon,26036.0,,,,2026-01-13,MTN,Wa,
268,Savings,Monthly budget template,Track income and expenses. Separate business and personal money.,Food Vendor,,2500.0,-500.0,30.0,,MTN,Sunyani,Medium
269,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,,0.0,0.0,2026-01-05,Telecel,Accra,Medium
270,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,2500.0,0.0,30.0,2026-01-05,MTN,Accra,Low
271,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Pharmacy,28914.0,2500.0,-500.0,-1.7,2026-01-05,AirtelTigo,Wa,Low
272,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Restaurant,5000.0,22876.0,-17876.0,-357.5,2026-01-13,,Wa,Medium
273,Profit Margin,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,2500.0,-500.0,25.0,2026-01-05,,Kumasi,Low
274,Profit Margin,Emergency fund,Save 10-30% of profits and keep emergency funds.,Pharmacy,14913.0,2000.0,12913.0,30.0,,AirtelTigo,Takoradi,
275,Savings,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,,-500.0,25.0,,,Cape Coast,High
276,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Pharmacy,2240.0,,,,2026-01-05,MTN,Wa,High
277,Savings,Emergency fund,Save 10-30% of profits and keep emergency funds.,Pharmacy,5000.0,2500.0,2500.0,25.0,2026-01-05,MTN,Bolgatanga,High
278,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,Trader,5000.0,2500.0,2500.0,25.0,2026-01-15,MTN,Accra,High
279,Savings,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Food Vendor,5000.0,,,30.0,2026-01-05,,Bolgatanga,Medium
280,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Salon,5000.0,11092.0,300.0,30.0,2026-01-05,Telecel,Kumasi,
281,Profit Margin,Margin example,Profit Margin=(Profit/Revenue)*100,Farmer,,,-500.0,,2026-01-05,MTN,Kumasi,Low
282,Mobile Money Fraud,Daily savings,Save 10-30% of profits and keep emergency funds.,Pharmacy,,10248.0,0.0,30.0,2026-01-05,,Kumasi,High
283,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,General,5000.0,8259.0,0.0,0.0,,Telecel,Sunyani,High
284,Budgeting,Monthly budget template,,General,,23350.0,300.0,,2026-01-05,,Accra,Low
285,Budgeting,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Restaurant,,2000.0,,30.0,2026-01-05,MTN,,
286,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Retail Shop,5000.0,2500.0,2500.0,25.0,,Telecel,Kumasi,
287,Budgeting,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Food Vendor,10366.0,2500.0,0.0,25.0,2026-01-05,,,High
288,Budgeting,Margin example,Profit Margin=(Profit/Revenue)*100,Bakery,,,,25.0,2026-01-13,,Sunyani,High
289,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,Food Vendor,,2000.0,,,2026-01-15,,Sunyani,Low
290,Mobile Money Fraud,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Restaurant,5000.0,2000.0,3000.0,60.0,2026-01-05,,Sunyani,Low
291,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Bakery,5000.0,2000.0,3000.0,30.0,2026-01-13,MTN,Bolgatanga,Low
292,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,General,2518.0,2500.0,18.0,30.0,2026-01-15,MTN,Takoradi,Low
293,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Farmer,,,300.0,,2026-01-05,MTN,Ho,
294,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Retail Shop,,2000.0,,,2026-01-05,AirtelTigo,Kumasi,High
295,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,General,,14693.0,-500.0,25.0,2026-01-05,AirtelTigo,Accra,Low
296,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Farmer,5000.0,2500.0,0.0,30.0,2026-01-05,AirtelTigo,Cape Coast,High
297,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Trader,13237.0,,-500.0,-3.8,2026-01-15,Telecel,Bolgatanga,
298,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Boutique,,2500.0,,,,Telecel,Kumasi,High
299,Profit Margin,proffit margin,Profit Margin=(Profit/Revenue)*100,General,,2500.0,,30.0,2026-01-05,AirtelTigo,Bolgatanga,
300,Profit Margin,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Boutique,,2000.0,,25.0,2026-01-05,MTN,Kumasi,High
301,Budgeting,budjet help,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,,0.0,30.0,2026-01-05,AirtelTigo,Accra,Medium
302,Profit Margin,Margin example,Profit Margin=(Profit/Revenue)*100,Food Vendor,5000.0,4112.0,888.0,30.0,2026-01-13,Telecel,Sunyani,High
303,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Farmer,28148.0,10958.0,17190.0,61.1,,,Takoradi,Low
304,Savings,budjet help,Track income and expenses. Separate business and personal money.,Pharmacy,10597.0,,300.0,2.8,2026-01-05,AirtelTigo,Bolgatanga,Medium
305,Profit Margin,Monthly budget template,Track income and expenses. Separate business and personal money.,Restaurant,,2000.0,,30.0,,,Kumasi,Medium
306,Savings,Profit formula?,Profit Margin=(Profit/Revenue)*100,Boutique,5000.0,,,,2026-01-05,Telecel,Kumasi,Medium
307,Budgeting,save tips,Save 10-30% of profits and keep emergency funds.,Food Vendor,5000.0,,,,2026-01-05,MTN,Tamale,Low
308,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Farmer,,12246.0,300.0,25.0,2026-01-05,MTN,Cape Coast,
309,Budgeting,Monthly budget template,Track income and expenses. Separate business and personal money.,Retail Shop,18523.0,2500.0,0.0,30.0,2026-01-05,MTN,Kumasi,High
310,Savings,How can I save money?,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,,-500.0,-10.0,2026-01-05,,Cape Coast,Low
311,Profit Margin,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Boutique,20357.0,,300.0,1.5,2026-01-05,,Kumasi,High
312,Savings,proffit margin,Profit Margin=(Profit/Revenue)*100,Retail Shop,5000.0,2500.0,0.0,0.0,2026-01-05,MTN,Kumasi,Low
313,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Restaurant,28550.0,17834.0,10716.0,37.5,2026-01-05,MTN,Tamale,Low
314,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,13399.0,-500.0,-10.0,,MTN,Bolgatanga,Low
315,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,Restaurant,5000.0,,-500.0,30.0,2026-01-05,,Kumasi,High
316,Mobile Money Fraud,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Salon,,,-500.0,,,Telecel,Bolgatanga,Medium
317,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Salon,,13718.0,300.0,30.0,2026-01-05,MTN,Takoradi,High
318,Mobile Money Fraud,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,,-500.0,-10.0,,MTN,Tamale,
319,Mobile Money Fraud,Margin example,Profit Margin=(Profit/Revenue)*100,Pharmacy,5000.0,,,,2026-01-13,MTN,Ho,Medium
320,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Food Vendor,5000.0,5880.0,-880.0,-17.6,2026-01-05,Telecel,Kumasi,
321,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,General,,,-500.0,25.0,2026-01-13,Telecel,,Low
322,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Farmer,11956.0,2000.0,300.0,25.0,2026-01-05,MTN,Tamale,
323,Profit Margin,Budget tips,,Pharmacy,,7787.0,300.0,30.0,2026-01-05,,Ho,Low
324,Budgeting,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,2500.0,300.0,30.0,2026-01-15,Telecel,Sunyani,
325,Profit Margin,save tips,Save 10-30% of profits and keep emergency funds.,Salon,,2000.0,0.0,,2026-01-13,,Tamale,Low
326,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,Boutique,,,,,2026-01-13,Telecel,Tamale,Low
327,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,General,,3042.0,0.0,30.0,2026-01-13,,Takoradi,Low
328,Savings,budjet help,Track income and expenses. Separate business and personal money.,Bakery,5000.0,,-500.0,30.0,,MTN,Tamale,High
329,Mobile Money Fraud,proffit margin,,Bakery,,6026.0,-500.0,,,MTN,Bolgatanga,
330,Mobile Money Fraud,Profit formula?,Profit Margin=(Profit/Revenue)*100,Retail Shop,5000.0,2500.0,2500.0,30.0,2026-01-05,AirtelTigo,,
331,Profit Margin,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Retail Shop,,2000.0,-500.0,25.0,2026-01-05,,Tamale,Low
332,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,,-500.0,-10.0,2026-01-15,,Accra,Low
333,Profit Margin,Profit formula?,Profit Margin=(Profit/Revenue)*100,Boutique,5000.0,,-500.0,30.0,2026-01-05,MTN,Sunyani,Low
334,Savings,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,2500.0,,30.0,2026-01-05,AirtelTigo,,Low
335,Profit Margin,How can I save money?,Save 10-30% of profits and keep emergency funds.,Pharmacy,5000.0,2000.0,3000.0,30.0,2026-01-15,,Bolgatanga,High
336,Savings,Margin example,,Food Vendor,,,-500.0,,2026-01-05,AirtelTigo,Kumasi,High
337,Budgeting,proffit margin,Profit Margin=(Profit/Revenue)*100,Pharmacy,,2000.0,300.0,30.0,2026-01-05,MTN,Sunyani,Low
338,Budgeting,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Restaurant,11318.0,,300.0,2.7,2026-01-05,,Sunyani,High
339,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Salon,7160.0,,300.0,30.0,2026-01-05,,Takoradi,Medium
340,Savings,budjet help,Track income and expenses. Separate business and personal money.,Farmer,5000.0,2500.0,2500.0,50.0,2026-01-15,Telecel,Tamale,
341,Profit Margin,Profit formula?,Profit Margin=(Profit/Revenue)*100,Pharmacy,,2000.0,,30.0,2026-01-05,,Takoradi,Low
342,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,,2000.0,0.0,,2026-01-05,MTN,Tamale,Low
343,Mobile Money Fraud,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Food Vendor,27550.0,2500.0,0.0,0.0,2026-01-05,MTN,Accra,High
344,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Farmer,5000.0,2500.0,300.0,6.0,2026-01-05,,Kumasi,Low
345,Profit Margin,Monthly budget template,Track income and expenses. Separate business and personal money.,Bakery,1731.0,2500.0,-500.0,30.0,,MTN,Bolgatanga,Low
346,Mobile Money Fraud,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Restaurant,5000.0,2000.0,-500.0,-10.0,2026-01-15,MTN,Wa,Medium
347,Savings,save tips,,Salon,,11376.0,,30.0,2026-01-05,MTN,Tamale,High
348,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,5000.0,6771.0,0.0,30.0,2026-01-13,Telecel,Sunyani,High
349,Savings,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Boutique,5000.0,1630.0,3370.0,25.0,2026-01-05,MTN,Accra,Medium
350,Profit Margin,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,,,30.0,2026-01-13,,Ho,Low
351,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Farmer,24191.0,10901.0,13290.0,54.9,2026-01-13,MTN,Kumasi,High
352,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,General,,,,25.0,2026-01-15,MTN,Wa,
353,Budgeting,Calculate profit margin,Profit Margin=(Profit/Revenue)*100,Farmer,2315.0,,-500.0,25.0,2026-01-05,AirtelTigo,Wa,
354,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Restaurant,5000.0,2500.0,0.0,25.0,2026-01-05,MTN,Kumasi,Low
355,Mobile Money Fraud,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,2500.0,300.0,30.0,2026-01-05,Telecel,Tamale,Low
356,Mobile Money Fraud,How do I create a business budget?,Track income and expenses. Separate business and personal money.,Retail Shop,,,300.0,,2026-01-13,MTN,,Low
357,Budgeting,Emergency fund,Save 10-30% of profits and keep emergency funds.,Food Vendor,8677.0,2000.0,300.0,30.0,2026-01-05,Telecel,Ho,Medium
358,Mobile Money Fraud,How to reduce expenses?,Track income and expenses. Separate business and personal money.,Boutique,5000.0,,-500.0,30.0,2026-01-05,,Ho,Low
359,Mobile Money Fraud,momo fraud help,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,16796.0,0.0,,,MTN,Wa,High
360,Mobile Money Fraud,proffit margin,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,2500.0,2500.0,50.0,2026-01-05,Telecel,Cape Coast,
361,Savings,Daily savings,Save 10-30% of profits and keep emergency funds.,General,,,,25.0,,MTN,Sunyani,
362,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,5000.0,,300.0,6.0,2026-01-13,Telecel,Sunyani,Low
363,Mobile Money Fraud,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,,-500.0,,2026-01-05,MTN,,High
364,Savings,Fake promotion SMS,Never share your PIN or OTP. Contact provider immediately.,General,5000.0,2500.0,2500.0,50.0,,MTN,Wa,High
365,Savings,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Retail Shop,5000.0,2000.0,3000.0,30.0,2026-01-05,AirtelTigo,Cape Coast,Low
366,Mobile Money Fraud,save tips,Save 10-30% of profits and keep emergency funds.,Farmer,,24156.0,300.0,30.0,2026-01-05,,Bolgatanga,Medium
367,Mobile Money Fraud,budjet help,Track income and expenses. Separate business and personal money.,General,,,-500.0,25.0,2026-01-05,Telecel,Ho,Low
368,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Bakery,5000.0,3709.0,-500.0,30.0,2026-01-05,,Sunyani,Low
369,Savings,save tips,Save 10-30% of profits and keep emergency funds.,Pharmacy,,,,30.0,2026-01-05,,Bolgatanga,Medium
370,Profit Margin,Scammer called me,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,5704.0,21097.0,-15393.0,-269.9,2026-01-05,Telecel,Accra,Medium
371,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Pharmacy,,2000.0,,30.0,2026-01-05,Telecel,Kumasi,
372,Budgeting,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Boutique,,2500.0,300.0,,2026-01-13,MTN,Wa,
373,Profit Margin,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Pharmacy,,3439.0,,,2026-01-13,AirtelTigo,Cape Coast,Low
374,Mobile Money Fraud,Budget tips,Track income and expenses. Separate business and personal money.,Retail Shop,5000.0,16608.0,-500.0,30.0,2026-01-05,,Takoradi,Low
375,Budgeting,Susu advice,Save 10-30% of profits and keep emergency funds.,Bakery,,,300.0,30.0,2026-01-05,MTN,Cape Coast,Low
376,Budgeting,How do I create a business budget?,Track income and expenses. Separate business and personal money.,General,5000.0,2000.0,-500.0,25.0,2026-01-05,MTN,Kumasi,High
377,Savings,Susu advice,Save 10-30% of profits and keep emergency funds.,Trader,,2500.0,-500.0,,2026-01-05,Telecel,Cape Coast,High
378,Budgeting,Budget tips,Track income and expenses. Separate business and personal money.,Trader,,2000.0,,30.0,2026-01-13,Telecel,Tamale,High
379,Profit Margin,How to compute margin?,Profit Margin=(Profit/Revenue)*100,Restaurant,5000.0,,0.0,0.0,,MTN,Takoradi,High
380,Savings,Someone asked for my PIN,Never share your PIN or OTP. Contact provider immediately.,Food Vendor,,4828.0,,,2026-01-05,,Wa,Low
381,Budgeting,Profit formula?,Profit Margin=(Profit/Revenue)*100,General,,,-500.0,,2026-01-15,Telecel,Takoradi,
382,Budgeting,How can I save money?,Save 10-30% of profits and keep emergency funds.,Boutique,5000.0,2000.0,-500.0,30.0,2026-01-15,Telecel,Cape Coast,Medium
383,Budgeting,Daily savings,Save 10-30% of profits and keep emergency funds.,Salon,,,,,2026-01-05,,Cape Coast,Medium
384,Profit Margin,Margin example,Profit Margin=(Profit/Revenue)*100,Boutique,22766.0,2000.0,20766.0,30.0,2026-01-13,AirtelTigo,,Low
385,Profit Margin,Wrong transfer,Never share your PIN or OTP. Contact provider immediately.,Salon,5000.0,,300.0,30.0,2026-01-05,Telecel,Kumasi,Low
